domainID,siteID,year,month,discharge_month_mean_L_sec,discharge_month_max,discharge_month_min,fishLifeStage,scientificName,taxonRank,taxonID,fish_month_tally,sum_fish_mass
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Noturus leptacanthus,species,NOTLEP,5,36.900000000000006
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Percina nigrofasciata,species,PERNIG,37,44.09999999999999
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Semotilus atromaculatus,species,SEMATR,9,60.99999999999998
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,adult,Semotilus thoreauianus,species,SEMTHO,11,85.69999999999999
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,juvenile,Aphredoderus sayanus,species,APHSAY,1,5.2
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,juvenile,Hypentelium etowanum,species,HYPETO,1,2.5
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,juvenile,Ichthyomyzon gagei,species,ICHGAG,1,0.5
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,juvenile,Lepomis megalotis,species,LEPMEG,1,0.6
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,juvenile,Micropterus henshalli,species,MICHEN,1,14.8
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,juvenile,Micropterus warriorensis,species,MICWAR,1,11.6
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,juvenile,Notropis baileyi,species,NOTBAI,1,0.3
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,juvenile,Noturus funebris,species,NOTFUN,4,1.5999999999999999
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,juvenile,Noturus leptacanthus,species,NOTLEP,1,1.8
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,juvenile,Semotilus atromaculatus,species,SEMATR,5,1.7
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,juvenile,Semotilus thoreauianus,species,SEMTHO,3,2.6
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,NA,Etheostoma lachneri,species,ETHLAC,1,0.3
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,NA,Fundulus notatus,species,FUNNOT,2,6.1
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,NA,Fundulus olivaceus,species,FUNOLI,1,0.3
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,NA,Ichthyomyzon gagei,species,ICHGAG,3,7.6000000000000005
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,NA,Notropis baileyi,species,NOTBAI,10,2.9999999999999996
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,NA,Notropis stilbius,species,NOTSTI,2,2.2
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,NA,Notropis texanus,species,NOTTEX,1,0.3
D08,MAYF,2022,11,137.66276041666666,2471.15,75.88,NA,Semotilus thoreauianus,species,SEMTHO,1,3.7
D08,MAYF,2022,12,149.68365255376347,1240.67,89.89,NA,NA,NA,NA,NA,NA
D14,SYCA,2021,10,100.15013440860191,4856.64,34.88,NA,NA,NA,NA,NA,NA
D14,SYCA,2021,11,35.75054513888888,47.21,24.52,NA,NA,NA,NA,NA,NA
D14,SYCA,2021,12,584.5100470430091,17935.7,31.53,NA,NA,NA,NA,NA,NA
D14,SYCA,2022,1,726.4267103494631,23430.4,70.61,NA,Agosia chrysogaster,species,AGOCHR,50,62.89999999999996
D14,SYCA,2022,2,68.12755580357143,138.64,53.23,adult,Agosia chrysogaster,species,AGOCHR,4,14.500000000000002
D14,SYCA,2022,2,68.12755580357143,138.64,53.23,young of year,Agosia chrysogaster,species,AGOCHR,21,6.299999999999998
D14,SYCA,2022,2,68.12755580357143,138.64,53.23,NA,Agosia chrysogaster,species,AGOCHR,426,367.00000000000176
D14,SYCA,2022,3,58.75840389784946,154.5,49.15,NA,NA,NA,NA,NA,NA
D14,SYCA,2022,4,57.16395486111111,75,51.41,NA,NA,NA,NA,NA,NA
D14,SYCA,2022,5,57.23659274193548,63.96,44.24,NA,NA,NA,NA,NA,NA
D14,SYCA,2022,6,33.8880486111111,44.59,22.64,adult,Agosia chrysogaster,species,AGOCHR,18,25.6
D14,SYCA,2022,6,33.8880486111111,44.59,22.64,gravid female,Agosia chrysogaster,species,AGOCHR,1,4
D14,SYCA,2022,6,33.8880486111111,44.59,22.64,young of year,Agosia chrysogaster,species,AGOCHR,9,2.6999999999999997
D14,SYCA,2022,6,33.8880486111111,44.59,22.64,NA,Agosia chrysogaster,species,AGOCHR,224,141.79999999999995
D14,SYCA,2022,7,8.875631720430144,1293.99,0,NA,NA,NA,NA,NA,NA
D14,SYCA,2022,8,0,0,0,NA,NA,NA,NA,NA,NA
D14,SYCA,2022,9,0,0,0,NA,NA,NA,NA,NA,NA
D14,SYCA,2022,10,0,0,0,NA,NA,NA,NA,NA,NA
D14,SYCA,2022,11,0,0,0,NA,NA,NA,NA,NA,NA
D14,SYCA,2022,12,0,0,0,NA,NA,NA,NA,NA,NA
D15,REDB,2021,10,28.064005376344127,54.81,17.13,NA,NA,NA,NA,NA,NA
D15,REDB,2021,11,31.69710416666668,47.29,30.22,NA,NA,NA,NA,NA,NA
D15,REDB,2021,12,30.536438172043017,53.6,14.35,NA,NA,NA,NA,NA,NA
D15,REDB,2022,1,37.54518481182796,47.29,21.23,NA,NA,NA,NA,NA,NA
D15,REDB,2022,2,34.799408482142844,48.88,11.18,NA,NA,NA,NA,NA,NA
D15,REDB,2022,3,72.38639448924698,182.33,16.13,NA,NA,NA,NA,NA,NA
D15,REDB,2022,4,123.5165347222223,159.5,98.75,NA,NA,NA,NA,NA,NA
D15,REDB,2022,5,116.81757392473129,147.99,88.56,NA,NA,NA,NA,NA,NA
D15,REDB,2022,6,76.44683333333337,108.85,53.28,NA,NA,NA,NA,NA,NA
D15,REDB,2022,7,38.92747983870973,57.66,23.58,NA,NA,NA,NA,NA,NA
D15,REDB,2022,8,25.888548387096783,58.6,16.78,NA,NA,NA,NA,NA,NA
D15,REDB,2022,9,20.720260416666672,33.16,15.4,NA,NA,NA,NA,NA,NA
D15,REDB,2022,10,28.51257056451613,63.83,20.54,juvenile,Oncorhynchus clarkii utah,subspecies,ONCCLA6,1,1.1
D15,REDB,2022,10,28.51257056451613,63.83,20.54,NA,Oncorhynchus clarkii utah,subspecies,ONCCLA6,20,1002.5999999999999
D15,REDB,2022,11,41.680677083333336,105.98,16.28,NA,NA,NA,NA,NA,NA
D15,REDB,2022,12,42.888968413978496,56.63,16.41,NA,NA,NA,NA,NA,NA
D17,BIGC,2020,10,13.691196236559144,24.01,4.21,NA,NA,NA,NA,NA,NA
D17,BIGC,2020,11,34.7804375,47.05,14.12,NA,NA,NA,NA,NA,NA
D17,BIGC,2020,12,53.21876680107527,111.68,43.89,NA,NA,NA,NA,NA,NA
D17,BIGC,2021,1,55.38925403225807,102.09,43.04,NA,NA,NA,NA,NA,NA
D17,BIGC,2021,2,86.07878348214287,377.57,48.82,NA,NA,NA,NA,NA,NA
D17,BIGC,2021,3,74.72718413978494,343.37,42.33,NA,NA,NA,NA,NA,NA
D17,BIGC,2021,4,40.88809027777777,54.71,27.45,adult,Salmo trutta,species,SALTRU,55,3387
D17,BIGC,2021,4,40.88809027777777,54.71,27.45,adult,Salmonidae sp.,family,SALSP2,1,36
